outcome,n,top_arbitration_mode,top_friction
authenticity_flag,3,"[[""human_arbiter"", 3]]","[[""authenticity_or_identity_risk"", 3], [""evidence_ambiguity"", 3], [""human_arbiter_selected_prelock"", 3], [""seller_trust_gap"", 1]]"
buyer_remorse,9,"[[""none"", 9]]",[]
clean_close,170,"[[""none"", 170]]",[]
insured_damaged,5,"[[""human_arbiter_agent_assisted"", 2], [""human_arbiter"", 2]]","[[""evidence_ambiguity"", 5], [""human_arbiter_selected_prelock"", 4], [""seller_trust_gap"", 3]]"
insured_lost,4,"[[""automated_escalated_to_human"", 2], [""human_arbiter_agent_assisted"", 2]]","[[""evidence_ambiguity"", 2], [""human_arbiter_selected_prelock"", 2]]"
local_handoff_dispute,3,"[[""human_arbiter_agent_assisted"", 2], [""human_arbiter"", 1]]","[[""evidence_ambiguity"", 3], [""human_arbiter_selected_prelock"", 3], [""in_person_handoff_ambiguity"", 3], [""seller_trust_gap"", 2]]"
material_misdescription,10,"[[""automated_escalated_to_human"", 6], [""human_arbiter"", 2]]","[[""evidence_ambiguity"", 10], [""bond_penalty_above_auto_cap"", 6], [""refund_above_auto_cap"", 6], [""human_arbiter_selected_prelock"", 4]]"
minor_condition_delta,16,"[[""human_arbiter_agent_assisted"", 9], [""human_arbiter"", 5]]","[[""human_arbiter_selected_prelock"", 15], [""seller_trust_gap"", 6]]"
porch_theft,5,"[[""human_arbiter_agent_assisted"", 5]]","[[""delivery_risk_ambiguous"", 5], [""evidence_ambiguity"", 5], [""human_arbiter_selected_prelock"", 5], [""seller_trust_gap"", 2]]"
route_delay,6,"[[""human_arbiter_agent_assisted"", 3], [""human_arbiter"", 1]]","[[""human_arbiter_selected_prelock"", 5], [""seller_trust_gap"", 1]]"
seller_nonship,6,"[[""human_arbiter"", 3], [""human_arbiter_agent_assisted"", 3]]","[[""human_arbiter_selected_prelock"", 6], [""seller_trust_gap"", 3]]"
underinsured_lost,4,"[[""human_arbiter"", 3], [""human_arbiter_agent_assisted"", 1]]","[[""evidence_ambiguity"", 4], [""human_arbiter_selected_prelock"", 4], [""route_gap_owner_review"", 4]]"
uninsured_lost,4,"[[""automated_escalated_to_human"", 4]]","[[""evidence_ambiguity"", 4], [""route_gap_owner_review"", 4]]"
wrong_card,5,"[[""human_arbiter"", 3], [""automated_escalated_to_human"", 1]]","[[""authenticity_or_identity_risk"", 5], [""evidence_ambiguity"", 5], [""human_arbiter_selected_prelock"", 4], [""bond_penalty_above_auto_cap"", 1]]"
